ccaa,matronas_colegiadas,dato_incompleto,tasa_natalidad,poblacion_2017,nacimientos_est,ratio_matrona_1000nac,ratio_zscore,ratio_outlier,pct_lme_6m,n_ense,r_pearson,p_pearson,r_spearman,p_spearman
Andalucía,79,True,8.9,8379248,74575,1.06,-1.39,False,24.9,253,0.22,0.45,0.341,0.233
Baleares,284,False,9.07,1115999,10122,28.06,0.02,False,32.6,86,0.22,0.45,0.341,0.233
Extremadura,246,False,7.9,1087778,8593,28.63,0.05,False,34.0,47,0.22,0.45,0.341,0.233
Murcia,290,False,10.22,1475568,15080,19.23,-0.44,False,20.7,87,0.22,0.45,0.341,0.233
Ceuta,30,False,12.28,84202,1034,29.01,0.07,False,3.3,30,0.22,0.45,0.341,0.233
Aragón,118,False,8.01,1308728,10483,11.26,-0.86,False,31.1,61,0.22,0.45,0.341,0.233
Asturias,451,False,5.84,1022800,5973,75.51,2.51,True,20.4,49,0.22,0.45,0.341,0.233
Canarias,38,True,7.44,2127685,15830,2.4,-1.32,False,27.0,74,0.22,0.45,0.341,0.233
Cantabria,113,False,7.09,582206,4128,27.37,-0.01,False,9.4,32,0.22,0.45,0.341,0.233
Castilla y León,635,False,6.4,2423441,15510,40.94,0.7,False,38.7,93,0.22,0.45,0.341,0.233
Cataluña,1509,False,8.91,7555830,67322,22.41,-0.27,False,24.1,195,0.22,0.45,0.341,0.233
Castilla-La Mancha,1139,False,8.29,2041631,16925,67.3,2.08,True,38.2,68,0.22,0.45,0.341,0.233
Madrid,1692,False,9.34,6466996,60402,28.01,0.02,False,36.2,199,0.22,0.45,0.341,0.233
País Vasco,690,False,7.83,2175034,17031,40.51,0.68,False,31.4,105,0.22,0.45,0.341,0.233
Melilla,30,False,15.6,86026,1342,22.35,-0.27,False,8.3,24,0.22,0.45,0.341,0.233
La Rioja,57,False,8.17,314487,2569,22.19,-0.28,False,31.0,58,0.22,0.45,0.341,0.233
C. Valenciana,133,True,8.16,4941509,40323,3.3,-1.27,False,26.6,158,0.22,0.45,0.341,0.233
Galicia,506,False,6.82,2701743,18426,27.46,-0.01,False,16.8,107,0.22,0.45,0.341,0.233
Navarra,158,False,8.93,647554,5783,27.32,-0.01,False,34.2,38,0.22,0.45,0.341,0.233
